tag,patterns,responses
Evaluation of fiscal policy, What is the difference between fiscal policy and a deep recession?,"The success of fiscal policy will depend on several factors, such as
It depends on the size of the multiplier. If the multiplier effect is large, then changes in government spending will have a bigger effect on overall demand.
It depends on the state of the economy. Fiscal policy is most effective in a deep recession where monetary policy is insufficient to boost demand. In a deep recession (liquidity trap). Higher government spending will not cause crowding out because the private sector saving has increased substantially. See: Liquidity trap and fiscal policy – why fiscal policy is more important during a liquidity trap.
It depends on other factors in the economy. For example, if the government pursue expansionary fiscal policy, but interest rates rise, and the global economy is in a recession, it may be insufficient to boost demand.
Bond yields. If there is concern over the state of government finances, the government may not be able to borrow to finance fiscal policy. Countries in the Eurozone experienced this problem in the 2008-13 recession."
Criticism of fiscal policy, What is the reason for the increase in government spending?,"The government may have poor information about the state of the economy and struggle to have the best information about what the economy needs.
Time lags. To increase government spending will take time. It could take several months for a government decision to filter through into the economy and actually affect AD. By then it may be too late.
Crowding out. Some economists argue that expansionary fiscal policy (higher government spending) will not increase AD because the higher government spending will crowd out the private sector. This is because the government have to borrow from the private sector who will then have lower funds for private investment.
Government spending is inefficient. Free market economists argue that higher government spending will tend to be wasted on inefficient spending projects. Also, it can then be difficult to reduce spending in the future because interest groups put political pressure on maintaining stimulus spending as permanent.
Higher borrowing costs. Under certain conditions, expansionary fiscal policy can lead to higher bond yields, increasing the cost of debt repayments."
Fiscal Stance, What is the definition of expansionary policy?,"This refers to whether the government is increasing AD or decreasing AD, e.g. expansionary or tight fiscal policy"
Automatic fiscal stabilisers, What will happen if the economy is growing?,"If the economy is growing, people will automatically pay more taxes ( VAT and Income tax) and the Government will spend less on unemployment benefits. The increased T and lower G will act as a check on AD. But, in a recession, the opposite will occur with tax revenue falling but increased government spending on benefits, this will help increase AD"
Discretionary fiscal stabilisers, What is the purpose of the tax increase?,"This is a deliberate attempt by the government to affect AD and stabilise the economy, e.g. in a boom the government will increase taxes to reduce inflation."
Primary budget deficit, what is a measure of government spending?,a measure of government spending – tax receipts but ignoring interest payments on the debt.
Fine tuning fiscal policy, What is the definition of fiscal policy fine tuning?,"Definition of Fine Tuning: This involves maintaining a steady rate of economic growth by using fiscal policy. For example, if growth is below the trend rate of growth, the government can cut tax to boost spending and economic growth. If growth is too fast and inflationary, the government can increase income tax to slow down consumer spending and reduce economic growth.
In theory, the government can make incremental changes to spending and taxation levels to slow down or speed up the economy.
Difficulties of fine tuning
In the real world, fine tuning is difficult to achieve due to several factors."
UK Budget deficit,How did UK deal with recession and Budget deficit?,"In 2009, the government pursued expansionary fiscal policy. In response to a deep recession (GDP fell 6%) the government cut VAT in a bid to boost consumer spending. This caused a big rise in government borrowing (2009-10). (Government borrowing also rose because of the recession leading to lower tax revenue)
When the new coalition government came into power in May 2010, they argued the deficit was too high and then announced plans to reduce government borrowing. This involved spending limits. These austerity measures were a factor in causing lower economic growth in 2011 and 2012."
Expansionary (or loose) fiscal policy, What is the effect of a light fiscal policy on the budget deficit?,"This involves increasing AD.
Therefore the government will increase spending (G) and cut taxes (T). Lower taxes will increase consumers spending because they have more disposable income (C)
This will tend to worsen the government budget deficit, and the government will need to increase borrowing."
Deflationary (or tight) fiscal policy, What is the effect of a tight fiscal policy on the budget deficit?,"This involves decreasing AD.
Therefore the government will cut government spending (G) and/or increase taxes. Higher taxes will reduce consumer spending (C)
Tight fiscal policy will tend to cause an improvement in the government budget deficit."
purpose of Fiscal Policy, What is the purpose of fiscal policy???,"Stimulate economic growth in a period of a recession.
Keep inflation low (the UK government has a target of 2%)
Fiscal policy aims to stabilise economic growth, avoiding a boom and bust economic cycle.
Fiscal policy is often used in conjunction with monetary policy. In fact, governments often prefer monetary policy for stabilising the economy."
Euro currency,What is the Euro currency?,The Euro is the single European countries adopted by 18 out of 28 EU countries. The UK has not joined.
The Euro has properties, What are the benefits of the euro?,"Common currency
Common monetary policy – Eurozone interest rates set by the ECB in Brussels.
Some fiscal rules, e.g. The Fiscal Compact (2012) limiting the amount of government borrowing (a balanced budget of less than 3% of GDP)
The Euro is the second largest reserve currency in the world after the US Dollar.
Benefits of the Euro
Lower transaction costs for trade, tourism and consumers.
Greater price transparency (leading to more price competition and lower prices for consumers)
Eliminates exchange rate volatility, encouraging trade and inward investment.
In theory, lower inflation and lower interest rates.
See more: benefits of the Euro"
Problems of the Euro, What is the reason why the Euro is not a good place to be?,"Common monetary policy not always suitable for all 18 members. e.g. southern Eurozone in recession, but ECB have kept monetary policy quite tight (relatively high interest rates). This means countries can be at risk of recession (if ECB keep interest rates too high) or boom if ECB don’t tackle inflationary pressure in that country.
Uncompetitiveness. Countries in the Euro cannot devalue their currency against European neighbours. If an economy becomes uncompetitive (e.g. relatively higher inflation / wages) then they will become uncompetitive and there will be: a fall in demand for exports and growth and a current account deficit.
Geographical immobilities. The Eurozone is quite diverse, it is difficult for unemployed Spanish workers to move to Germany to take advantage of jobs there. This lack of mobility makes a common monetary policy difficult.
Fiscal compact has created pressure for austerity, leading to lower growth. Countries in the Eurozone have few policies to increase aggregate demand (AD) in a recession.
Higher bond yields. Countries in Eurozone have faced rising bond yields because they have no Central Bank to act as lender of last resort.
Recession and low growth. Since 2008, the Eurozone has experienced low growth, high unemployment. Many fear the Eurozone has a deflationary bias."
UK and Euro currency positive,Why should UK join Euro? ,Yes. Reduced exchange rate volatility. Encourage trade and inward investment with main trading partners
UK and Euro currency negative,Why should UK not join Euro? ,"No. UK would suffer from losing independent monetary policy, e.g. no quantitative easing could have made recession worse.
UK housing market very sensitive to interest rates.
UK exports could end up becoming uncompetitive lack Southern Europe
Growth likely to be lower.
Past five years suggest membership of the Euro could contribute to very serious recession."
Globalisation, What is the pros and cons of globalisation?,"Globalisation involves the increased integration and interdependence of the global economy. It means there will be a rise in trade, and increase in movement of labour and capital. There are both pros and cons of globalisation. ."
Globalisation Positive, What are the benefits of Globalisation?,"The benefits include greater competition, lower prices, economies of scale"
Globalisation Negative, What are the negative points of Globalisation?,Critics argue globalisation can leave many left behind due to the pace of progress which gives more power to large multinationals – enabling them to avoid tax but use monopoly power to charge high prices.
Impact of globalisation on the UK economy, What does the UK have to gain from globalisation?,"Increased trade. Globalisation and increased trade mean UK firms can benefit from specialising in goods where they have a comparative advantage. For example, the UK has a comparative advantage in goods such as financial services, video gaming and nuclear power components. This comparative advantage enables higher exports which creates jobs. see: comparative advantage
Greater choice of imports. Globalisation has significantly increased the choice of consumer goods. For example, we have become accustomed to the year-round availability of fruit and vegetables due to food imports.
Increased competition/lower prices. Globalisation means that domestic monopolies will now face more international competition. This leads to lower prices for consumers. This is particularly noticeable in industries such as clothing, electronics and food – where the UK is a net importer.
Lower costs for firms. Globalisation makes it easier to outsource parts of the production process (e.g. call centres, web development) to countries with lower labour costs. Firms can make use of technology to interact with people around the world. This will help reduce costs and prices."
Negative Impact of globalisation on the UK economy,What are negative Impacts of globalisation on the UK economy?,Outsourcing can lead to domestic job-losses and lower quality of service.
Migration Positive, What is the role of the UK in the world of migration and globalisation?,Migration. Globalisation makes it easier for migrants to enter and work in the UK. This free movement of labour can help the UK to fill job vacancies. This is important in industries such as fruit picking and the NHS where firms often find labour shortages.
Migration Negative, What can be done to reduce the stress on housing and services?,"However, mass migration can also place greater stress on UK housing and public services because of the net migration of people into the UK. Concerns over levels of migration led to Brexit vote – widely seen as a vote against globalisation."
Tax avoidance. Globalisation, What is the impact of globalisation on the UK?,"Globalisation has enabled firms to shift production from high tax countries to low tax countries. Often this is just taking advantage of tax loopholes. For example, companies like Apple, Amazon and Google have taken advantage of low tax rates in countries like Bermuda, Luxembourg and Ireland. This means UK treasury loses out on tax revenue. Multinationals have very high levels of cash reserves – indicative of the fact globalisation has led to the unequal distribution of the benefits.
Growing inequality. Recent decades have seen growing levels of inequality, with top 1% of income earners gaining a higher share of income.
Environment. Globalisation and growing global economy have implications for the environmental state of the world and the UK. Global warming will impact the UK."
Winners from globalisation, Who can benefit from Globalisation?,"Winners from globalisation include
Firms with comparative advantage, e.g. high-tech software firms
High-income earners
Wealthy who can invest abroad and take advantage of lower tax rates.
Workers who gain employment in export industry
Consumers who benefit from cheaper prices"
Losers from globalisation, Who can lose from Globalisation?,"Unskilled manual labour who have seen a decline in employment opportunities with the structural change to the economy.
Average taxpayers who lose out from tax avoidance schemes
The environment which is experiencing global warming and loss of natural resources."
Globalisation Conclusion, What are the benefits of globalisation for the UK economy?,"In many senses, globalisation is not a new phenomenon for the UK economy. The UK has benefitted from a more globalised world ever since first exports and imports. During the industrial revolution, global ties were important for enabling the UK to import raw materials and exports goods. Recent decades are a continuation of this process of globalisation and we often forget the obvious benefits. The benefit of a greater choice of imports, lower prices and economies of scale in production."
Global economic cycle negative, What is the impact of the global economic cycle on the UK?,"The UK is more affected by the global economic cycle. For example, a deep recession in the EU/US will affect the UK, because we rely on the EU and US to export many goods. The global credit crunch had a very damaging impact on UK economy because we were affected by the financial crisis in other countries."
Global economic cycle positive, What is the main problem of the US and UK?,"Shifting sectors/structural unemployment Globalisation will lead to a shift in the sectors of the economy. For example, the UK no longer has a comparative advantage in many manufacturing industries, Developing countries now have an advantage due to lower labour costs. This process can lead to temporary structural unemployment as unemployed workers struggle to gain employment in new industries.
A problem in US and UK is that many workers feel left behind by the process of globalisation. They feel globalisation enables firms to make more profit, but workers struggle to find new employment which matches their previous jobs in turns of job security, pay and sense of loyalty."
Monetary policy, What is monetary policy?,Monetary policy involves using interest rates and other monetary tools to influence the levels of consumer spending and aggregate demand (AD). In particular monetary policy aims to stabilise the economic cycle – keep inflation low and avoid recessions.
Aim of monetary policy, What is the UK's target for inflation?,"Low inflation. UK target is CPI 2% +/-1. Low inflation is considered an important factor in enabling higher investment in the long-term.
Stable economic growth. Monetary policy is also concerned with maintaining a sustainable rate of economic growth and keeping unemployment low."
How monetary policy works, What is the base rate of the UK economy?,"UK monetary policy is set by the Monetary Policy Committee (MPC) of the Bank of England.
They are independent in setting interest rates but have to try and meet the government’s inflation target.
The Bank of England set the base rate. This is the rate commercial banks borrow from the Bank of England.
Changing the base rate tends to influence all interest rates in the economy – from saving rates to mortgage and lending rates"
Bank of England's interest rates, What is the Bank of England's approach to inflation?,"The Bank of England studies inflationary trends in the economy. This involves looking at a range of economic variables such as:
Unemployment, consumer confidence, spare capacity in the economy, exchange rate index, house prices, economic growth
From these statistics, the Bank of England decides whether inflation is likely to rise or fall.
If they expect higher inflation and higher growth, they will tend to increase interest rates.
If they expect lower growth and a fall in the inflation rate, they will tend to cut interest rates."
Difficulties of monetary policy, What are the limitations of monetary policy??,"Some limitations of monetary policy include:
Liquidity Trap – This occurs when a cut in interest rates fail to stimulate economic activity. e.g. because of low confidence or banks don’t want to pass base rate cut onto consumers.
Difficult to control many objectives with one tool – interest rates. For example, a rise in oil prices causes cost-push inflation and lower growth. The Bank could increase interest rates to reduce inflation, but, it would cause economic growth to fall as well. In 2009, inflation rose to rising oil prices, but the economy was also in recession; the Bank decided to ‘allow’ the temporary inflation and concentrate on economic recovery.
Changing interest rates affects the exchange rate. Tight monetary policy causes an appreciation in the exchange rate which will make exports less competitive.
Interest rates may affect some parts of the economy more than others. e.g. higher interest rates increase the disposable income of people with savings. But, could cause homeowners to be unable to afford their mortgages.
Time lags – If the Bank of England change base rates, it can take up to 18 months for the effects to filter through the economy. For example, if people have a two-year fixed mortgage, they will not notice until they remortgage. This means the Bank needs to predict future inflation so that they can change interest rates in anticipation."
An evaluation of UK monetary policy, What would be an evaluation of UK monetary policy?,"In the period 1997-2007, monetary policy effectively kept economic growth and inflation stable. This was because cost-push inflation was low and the independent Bank of England was successful in preventing growth exceeding the long-run trend rate.
However, in the great moderation, despite low inflation, there were imbalances in the economy – such as rising house prices and boom in credit. This shows the limit of monetary policy in preventing a credit bubble.
2007-2011
Between 2007 and 2011, monetary policy became much more difficult. This was because of:
Cost-push inflation and recession. In 2008 and 2011, the UK experienced a rise in CPI inflation to over 5%. (see: cost push inflation) Yet, at the same time, economic growth was very low or negative. This present the Bank of England with a difficulty. On the one hand, inflation is above their target so they should consider raising interest rates. However, with a depressed economy, the economy needs the opposite.
Liquidity Trap. In 2008, the economy was in a liquidity trap. Cutting interest rates to zero, failed to boost spending and economic growth. Therefore, the Bank of England were forced to pursue quantitative easing."
